(in /Users/marcelomenezes/ruby_training/newstemplates)
+----------------------------------------------------+-------+-------+--------+
|                  File                              | Lines |  LOC  |  COV   |
|...activeresource-2.1.0/lib/active_resource/base.rb |  1014 |   359 |  22.0% |
|...resource-2.1.0/lib/active_resource/connection.rb |   207 |   139 |  35.3% |
|...urce-2.1.0/lib/active_resource/custom_methods.rb |   119 |    60 |  38.3% |
|...iveresource-2.1.0/lib/active_resource/formats.rb |    14 |     9 |  55.6% |
|...2.1.0/lib/active_resource/formats/json_format.rb |    23 |    19 |  42.1% |
|...-2.1.0/lib/active_resource/formats/xml_format.rb |    34 |    27 |  37.0% |
|...esource-2.1.0/lib/active_resource/validations.rb |   288 |    92 |  33.7% |
|...8/gems/activesupport-2.1.0/lib/active_support.rb |    55 |    21 | 100.0% |
|...activesupport-2.1.0/lib/active_support/base64.rb |    22 |    18 |  27.8% |
|...support-2.1.0/lib/active_support/basic_object.rb |    24 |    14 |  50.0% |
|...port-2.1.0/lib/active_support/buffered_logger.rb |   121 |    97 |  62.9% |
|.../activesupport-2.1.0/lib/active_support/cache.rb |   145 |   115 |  33.9% |
|...tive_support/cache/compressed_mem_cache_store.rb |    15 |    14 |  35.7% |
|...port-2.1.0/lib/active_support/cache/drb_store.rb |    15 |    13 |  46.2% |
|...ort-2.1.0/lib/active_support/cache/file_store.rb |    70 |    59 |  23.7% |
|....1.0/lib/active_support/cache/mem_cache_store.rb |   100 |    80 |  31.2% |
|...t-2.1.0/lib/active_support/cache/memory_store.rb |    38 |    32 |  37.5% |
|...ivesupport-2.1.0/lib/active_support/callbacks.rb |   275 |   135 |  80.7% |
|...support-2.1.0/lib/active_support/clean_logger.rb |   127 |    84 |  22.6% |
|...tivesupport-2.1.0/lib/active_support/core_ext.rb |     4 |     4 | 100.0% |
|...pport-2.1.0/lib/active_support/core_ext/array.rb |    13 |    12 | 100.0% |
|....1.0/lib/active_support/core_ext/array/access.rb |    26 |    14 |  42.9% |
|...lib/active_support/core_ext/array/conversions.rb |   178 |    71 |  22.5% |
|...active_support/core_ext/array/extract_options.rb |    20 |    11 | 100.0% |
|....0/lib/active_support/core_ext/array/grouping.rb |    63 |    35 |  20.0% |
|...b/active_support/core_ext/array/random_access.rb |    12 |    11 | 100.0% |
|...port-2.1.0/lib/active_support/core_ext/base64.rb |     4 |     3 | 100.0% |
|...0/lib/active_support/core_ext/base64/encoding.rb |    13 |    11 |  45.5% |
|...t-2.1.0/lib/active_support/core_ext/benchmark.rb |    12 |    10 | 100.0% |
|...-2.1.0/lib/active_support/core_ext/bigdecimal.rb |     6 |     5 | 100.0% |
|...ctive_support/core_ext/bigdecimal/conversions.rb |    41 |    32 |  43.8% |
|...pport-2.1.0/lib/active_support/core_ext/blank.rb |    53 |    36 |  83.3% |
|...support-2.1.0/lib/active_support/core_ext/cgi.rb |     5 |     4 | 100.0% |
|..._support/core_ext/cgi/escape_skipping_slashes.rb |    14 |    14 |  35.7% |
|...pport-2.1.0/lib/active_support/core_ext/class.rb |     4 |     4 | 100.0% |
|...ve_support/core_ext/class/attribute_accessors.rb |    54 |    39 | 100.0% |
|..._support/core_ext/class/delegating_attributes.rb |    46 |    38 | 100.0% |
|...support/core_ext/class/inheritable_attributes.rb |   140 |   109 |  83.5% |
|...1.0/lib/active_support/core_ext/class/removal.rb |    50 |    17 |  23.5% |
|...upport-2.1.0/lib/active_support/core_ext/date.rb |    10 |     9 | 100.0% |
|...1.0/lib/active_support/core_ext/date/behavior.rb |    13 |    11 |  45.5% |
|...lib/active_support/core_ext/date/calculations.rb |   215 |   146 |  39.0% |
|.../lib/active_support/core_ext/date/conversions.rb |   107 |    52 |  61.5% |
|...t-2.1.0/lib/active_support/core_ext/date_time.rb |    12 |    11 | 100.0% |
|...ctive_support/core_ext/date_time/calculations.rb |   112 |    73 |  41.1% |
|...active_support/core_ext/date_time/conversions.rb |    96 |    46 |  69.6% |
|...-2.1.0/lib/active_support/core_ext/duplicable.rb |    37 |    30 |  90.0% |
|...-2.1.0/lib/active_support/core_ext/enumerable.rb |    69 |    23 |  52.2% |
|...t-2.1.0/lib/active_support/core_ext/exception.rb |    41 |    33 |  42.4% |
|...upport-2.1.0/lib/active_support/core_ext/file.rb |    21 |     7 |  28.6% |
|...pport-2.1.0/lib/active_support/core_ext/float.rb |     5 |     4 | 100.0% |
|....0/lib/active_support/core_ext/float/rounding.rb |    24 |    17 |  64.7% |
|...upport-2.1.0/lib/active_support/core_ext/hash.rb |    13 |    12 | 100.0% |
|.../lib/active_support/core_ext/hash/conversions.rb |   259 |   207 |  22.2% |
|...t-2.1.0/lib/active_support/core_ext/hash/diff.rb |    19 |    11 |  45.5% |
|...2.1.0/lib/active_support/core_ext/hash/except.rb |    24 |    16 |  62.5% |
|...tive_support/core_ext/hash/indifferent_access.rb |   137 |    81 |  81.5% |
|...t-2.1.0/lib/active_support/core_ext/hash/keys.rb |    52 |    35 |  80.0% |
|...ib/active_support/core_ext/hash/reverse_merge.rb |    28 |    15 | 100.0% |
|...-2.1.0/lib/active_support/core_ext/hash/slice.rb |    28 |    16 |  43.8% |
